email,password
shillastaygangnam@gmail.com,hotelPwd@SBJ1
glad@gmail.com,hotelPwd@SBJ2
dominn@gmail.com,hotelPwd@SBJ3
sheraton@gmail.com,hotelPwd@SBJ4
hiltonGarden@gmail.com,hotelPwd@SBJ5
gracelee@gmail.com,hotelPwd@SBJ6
shilla@gmail.com,hotelPwd@SBJ7
sejong@gmail.com,hotelPwd@SBJ8
courtyard@gmail.com,hotelPwd@SBJ9
amidhotel@gmail.com,hotelPwd@SBJ10
yeondang@gmail.com,hotelPwd@SBJ11
bookchon@gmail.com,hotelPwd@SBJ12
hwadong@gmail.com,hotelPwd@SBJ13
koreana@gmail.com,hotelPwd@SBJ14
chaeha@gmail.com,hotelPwd@SBJ15
paradisehotel@gmail.com,hotelPwd@SBJ16
shillastayBusan@gmail.com,hotelPwd@SBJ17
grandJosunBusan@gmail.com,hotelPwd@SBJ18
centun@gmail.com,hotelPwd@SBJ19
lamadaBusan@gmail.com,hotelPwd@SBJ20
urbanyCentral@gmail.com,hotelPwd@SBJ21
tokyoInn@gmail.com,hotelPwd@SBJ22
busanBusinessHotel@gmail.com,hotelPwd@SBJ23
lotteHotelJeju@gmail.com,hotelPwd@SBJ24
kensingtonJeju@gmail.com,hotelPwd@SBJ25
hotelSerius@gmail.com,hotelPwd@SBJ26
grandJosunJeju@gmail.com,hotelPwd@SBJ27
parnasJeju@gmail.com,hotelPwd@SBJ28
